id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count
2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,Private room,149,1,9,2018.10.19,0.21,6
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,Entire home/apt,225,1,45,2019.5.21,0.38,2
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,Manhattan,Harlem,Private room,150,3,0,,,1
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Brooklyn,Clinton Hill,Entire home/apt,89,1,270,2019.7.5,4.64,1
5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,Manhattan,East Harlem,Entire home/apt,80,10,9,2018.11.19,0.1,1
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,Manhattan,Murray Hill,Entire home/apt,200,3,74,2019.6.22,0.59,1
5121,BlissArtsSpace!,7356,Garon,Brooklyn,Bedford-Stuyvesant,Private room,60,45,49,2017.10.5,0.4,1
5178,Large Furnished Room Near B'way ,8967,Shunichi,Manhattan,Hell's Kitchen,Private room,79,2,430,2019.6.24,3.47,1
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,Private room,79,2,118,2017.7.21,0.99,1
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,Manhattan,Chinatown,Entire home/apt,150,1,160,2019.6.9,1.33,4
5295,Beautiful 1br on Upper West Side,7702,Lena,Manhattan,Upper West Side,Entire home/apt,135,5,53,2019.6.22,0.43,1
5441,Central Manhattan/near Broadway,7989,Kate,Manhattan,Hell's Kitchen,Private room,85,2,188,2019.6.23,1.5,1
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,Brooklyn,South Slope,Private room,89,4,167,2019.6.24,1.34,3
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Claudio,Manhattan,Upper West Side,Private room,85,2,113,2019.7.5,0.91,1
6090,West Village Nest - Superhost,11975,Alina,Manhattan,West Village,Entire home/apt,120,90,27,2018.10.31,0.22,1
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,Entire home/apt,140,2,148,2019.6.29,1.2,1
7097,Perfect for Your Parents + Garden,17571,Jane,Brooklyn,Fort Greene,Entire home/apt,215,2,198,2019.6.28,1.72,1
7322,Chelsea Perfect,18946,Doti,Manhattan,Chelsea,Private room,140,1,260,2019.7.1,2.12,1
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,Brooklyn,Crown Heights,Entire home/apt,99,3,53,2019.6.22,4.44,1
7750,Huge 2 BR Upper East  Cental Park,17985,Sing,Manhattan,East Harlem,Entire home/apt,190,7,0,,,2
7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,Brooklyn,Williamsburg,Entire home/apt,299,3,9,2011.12.28,0.07,1
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,Brooklyn,Park Slope,Private room,130,2,130,2019.7.1,1.09,6
8025,CBG Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,Private room,80,1,39,2019.1.1,0.37,6
8110,CBG Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,Private room,110,2,71,2019.7.2,0.61,6
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,2019.6.19,0.73,2
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,Private room,60,1,19,2019.6.23,1.37,2
8700,Magnifique Suite au N de Manhattan - vue Cloitres,26394,Claude & Sophie,Manhattan,Inwood,Private room,80,4,0,,,1
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,2017.8.13,0.49,1
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Shon,Manhattan,Inwood,Private room,44,3,108,2019.6.15,1.11,3
9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,Manhattan,East Village,Entire home/apt,180,14,29,2019.4.19,0.24,1
9668,front room/double bed,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,242,2019.6.1,2.04,3
9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,Private room,52,2,88,2019.6.14,1.42,1
9782,Loft in Williamsburg Area w/ Roof,32169,Andrea,Brooklyn,Greenpoint,Private room,55,4,197,2019.6.15,1.65,3
9783,back room/bunk beds,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,273,2019.7.1,2.37,3
10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,2019.5.12,0.66,2
10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Laurie,Brooklyn,South Slope,Private room,89,4,168,2019.6.21,1.41,3
11452,Clean and Quiet in Brooklyn,7355,Vt,Brooklyn,Bedford-Stuyvesant,Private room,35,60,0,,,1
11708,Cute apt in artist's home,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,85,2,231,2019.6.22,1.96,2
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,Private room,150,1,0,,,1
